County,City,Model_Year,Make,Model,EV_Type,CAFV_Eligibility,Electric_Range,Electric_Utility,Vehicle_Age,Has_Range_Data,Has_MSRP
Kitsap,Poulsbo,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
King,Seattle,2024,Bmw,X5,PHEV,Eligible,39.0,City Of Seattle - (Wa),1,1,0
Snohomish,Snohomish,2015,Chevrolet,Volt,PHEV,Eligible,38.0,Puget Sound Energy Inc,10,1,0
King,Seattle,2019,Bmw,I3,BEV,Eligible,153.0,City Of Seattle - (Wa),6,1,0
Yakima,Yakima,2024,Kia,Sportage,PHEV,Eligible,34.0,Pacificorp,1,1,0
Yakima,Yakima,2015,Chevrolet,Volt,PHEV,Eligible,38.0,Pacificorp,10,1,0
King,Seattle,2021,Bmw,X5,PHEV,Eligible,30.0,City Of Seattle - (Wa),4,1,0
Yakima,Yakima,2023,Volkswagen,Id.4,BEV,Unknown,,Pacificorp,2,0,0
Thurston,Olympia,2024,Toyota,Rav4 Prime (Phev),PHEV,Eligible,42.0,Puget Sound Energy Inc,1,1,0
Kitsap,Poulsbo,2024,Lucid,Air,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Thurston,Olympia,2022,Ford,Escape,PHEV,Eligible,38.0,Puget Sound Energy Inc,3,1,0
Kitsap,Poulsbo,2024,Kia,Ev6,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Kitsap,Bainbridge Island,2024,Audi,Q5 E,PHEV,Not Eligible,23.0,Puget Sound Energy Inc,1,1,0
Kitsap,Silverdale,2020,Tesla,Model 3,BEV,Eligible,266.0,Puget Sound Energy Inc,5,1,0
Snohomish,Bothell,2024,Hyundai,Tucson,PHEV,Eligible,33.0,Puget Sound Energy Inc,1,1,0
Thurston,Olympia,2019,Kia,Niro,PHEV,Not Eligible,26.0,Puget Sound Energy Inc,6,1,0
Yakima,Selah,2018,Tesla,Model 3,BEV,Eligible,215.0,Pacificorp,7,1,0
Kitsap,Poulsbo,2023,Ford,F-150,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
King,Kent,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Kitsap,Poulsbo,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Renton,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Renton,2017,Tesla,Model S,BEV,Eligible,210.0,Puget Sound Energy Inc,8,1,0
Snohomish,Bothell,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Snohomish,Bothell,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Medina,2018,Tesla,Model X,BEV,Eligible,238.0,Puget Sound Energy Inc,7,1,0
Snohomish,Lake Stevens,2025,Mazda,Cx-90,PHEV,Not Eligible,26.0,Puget Sound Energy Inc,0,1,0
Kitsap,Bainbridge Island,2017,Tesla,Model S,BEV,Eligible,210.0,Puget Sound Energy Inc,8,1,0
King,Renton,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
Kitsap,Poulsbo,2021,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,4,0,0
Thurston,Olympia,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Kitsap,Bainbridge Island,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
Kitsap,Bremerton,2023,Nissan,Ariya,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Kitsap,Kingston,2024,Audi,Q8,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Snohomish,Marysville,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Thurston,Olympia,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Seattle,2016,Tesla,Model X,BEV,Eligible,200.0,City Of Seattle - (Wa),9,1,0
Snohomish,Lake Stevens,2020,Tesla,Model Y,BEV,Eligible,291.0,Puget Sound Energy Inc,5,1,0
Snohomish,Lake Stevens,2012,Chevrolet,Volt,PHEV,Eligible,35.0,Puget Sound Energy Inc,13,1,0
Yakima,Yakima,2016,Tesla,Model X,BEV,Eligible,200.0,Pacificorp,9,1,0
Kitsap,Seabeck,2025,Bmw,X5,PHEV,Eligible,40.0,Puget Sound Energy Inc,0,1,0
Kitsap,Bremerton,2022,Volvo,Xc90,PHEV,Eligible,35.0,Puget Sound Energy Inc,3,1,0
Thurston,Lacey,2019,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,6,1,0
Yakima,Yakima,2022,Tesla,Model 3,BEV,Unknown,,Pacificorp,3,0,0
Yakima,Yakima,2018,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Pacificorp,7,1,0
Thurston,Olympia,2018,Kia,Soul,BEV,Eligible,111.0,Puget Sound Energy Inc,7,1,1
Snohomish,Lynnwood,2020,Tesla,Model 3,BEV,Eligible,266.0,Puget Sound Energy Inc,5,1,0
Yakima,Yakima,2018,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Pacificorp,7,1,0
Snohomish,Bothell,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
King,Medina,2014,Tesla,Model S,BEV,Eligible,208.0,City Of Seattle - (Wa),11,1,1
King,Seattle,2020,Bmw,I3,BEV,Eligible,153.0,City Of Seattle - (Wa),5,1,0
Thurston,Olympia,2018,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,7,1,0
Snohomish,Bothell,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Snohomish,Bothell,2023,Hyundai,Tucson,PHEV,Eligible,33.0,Puget Sound Energy Inc,2,1,0
Snohomish,Edmonds,2017,Tesla,Model X,BEV,Eligible,200.0,Puget Sound Energy Inc,8,1,0
Kitsap,Poulsbo,2017,Ford,Fusion,PHEV,Not Eligible,21.0,Puget Sound Energy Inc,8,1,0
Yakima,Yakima,2024,Volvo,S90,PHEV,Eligible,38.0,Pacificorp,1,1,0
Snohomish,Bothell,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
Snohomish,Bothell,2014,Chevrolet,Volt,PHEV,Eligible,38.0,Puget Sound Energy Inc,11,1,0
Snohomish,Brier,2022,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
Walla Walla,Walla Walla,2021,Jeep,Wrangler,PHEV,Not Eligible,21.0,Pacificorp,4,1,0
Thurston,Olympia,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
Kitsap,Bremerton,2021,Nissan,Leaf,BEV,Unknown,,Puget Sound Energy Inc,4,0,0
Snohomish,Lake Stevens,2024,Lexus,Nx,PHEV,Eligible,37.0,Puget Sound Energy Inc,1,1,0
Yakima,Yakima,2022,Chevrolet,Bolt Ev,BEV,Unknown,,Pacificorp,3,0,0
Snohomish,Bothell,2022,Ford,F-150,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
Thurston,Olympia,2016,Tesla,Model S,BEV,Eligible,210.0,Puget Sound Energy Inc,9,1,0
Thurston,Rochester,2025,Toyota,Bz4X,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
Thurston,Olympia,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
Snohomish,Lynnwood,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Seattle,2019,Tesla,Model 3,BEV,Eligible,220.0,City Of Seattle - (Wa),6,1,0
Thurston,Olympia,2024,Tesla,Cybertruck,BEV,Unknown,,Puget Sound Energy Inc,1,0,0
Snohomish,Edmonds,2013,Tesla,Model S,BEV,Eligible,208.0,Puget Sound Energy Inc,12,1,1
King,Seattle,2018,Nissan,Leaf,BEV,Eligible,151.0,City Of Seattle - (Wa),7,1,0
Kitsap,Bainbridge Island,2020,Kia,Niro,BEV,Eligible,239.0,Puget Sound Energy Inc,5,1,0
Snohomish,Bothell,2020,Tesla,Model Y,BEV,Eligible,291.0,Puget Sound Energy Inc,5,1,0
Thurston,Olympia,2018,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,7,1,0
Snohomish,Snohomish,2019,Nissan,Leaf,BEV,Eligible,150.0,Puget Sound Energy Inc,6,1,0
Thurston,Olympia,2023,Kia,Niro,PHEV,Eligible,33.0,Puget Sound Energy Inc,2,1,0
Snohomish,Edmonds,2020,Tesla,Model 3,BEV,Eligible,266.0,Puget Sound Energy Inc,5,1,0
Snohomish,Everett,2017,Ford,C-Max,PHEV,Not Eligible,20.0,Puget Sound Energy Inc,8,1,0
Snohomish,Bothell,2023,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,2,0,0
Snohomish,Mill Creek,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Walla Walla,Walla Walla,2023,Tesla,Model Y,BEV,Unknown,,Pacificorp,2,0,0
Snohomish,Bothell,2026,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
King,Seattle,2019,Audi,E-Tron,BEV,Eligible,204.0,City Of Seattle - (Wa),6,1,0
Kitsap,Port Orchard,2020,Tesla,Model 3,BEV,Eligible,322.0,Puget Sound Energy Inc,5,1,0
Yakima,Yakima,2023,Toyota,Bz4X,BEV,Unknown,,Pacificorp,2,0,0
Thurston,Olympia,2015,Tesla,Model S,BEV,Eligible,208.0,Puget Sound Energy Inc,10,1,0
Kitsap,Port Orchard,2024,Volvo,Xc90,PHEV,Eligible,32.0,Puget Sound Energy Inc,1,1,0
Yakima,Yakima,2018,Honda,Clarity,PHEV,Eligible,47.0,Pacificorp,7,1,0
King,Seattle,2019,Nissan,Leaf,BEV,Eligible,150.0,City Of Seattle - (Wa),6,1,0
Snohomish,Mill Creek,2025,Kia,Sportage,PHEV,Eligible,34.0,Puget Sound Energy Inc,0,1,0
Yakima,Yakima,2018,Tesla,Model 3,BEV,Eligible,215.0,Pacificorp,7,1,0
Yakima,Yakima,2023,Rivian,R1T,BEV,Unknown,,Pacificorp,2,0,0
Yakima,Yakima,2023,Hyundai,Tucson,PHEV,Eligible,33.0,Pacificorp,2,1,0
Thurston,Tumwater,2024,Kia,Sportage,PHEV,Eligible,34.0,Puget Sound Energy Inc,1,1,0
Snohomish,Snohomish,2019,Nissan,Leaf,BEV,Eligible,150.0,Puget Sound Energy Inc,6,1,0
Kitsap,Bainbridge Island,2019,Nissan,Leaf,BEV,Eligible,150.0,Puget Sound Energy Inc,6,1,0
Kitsap,Silverdale,2017,Tesla,Model X,BEV,Eligible,200.0,Puget Sound Energy Inc,8,1,0
King,Vashon,2018,Nissan,Leaf,BEV,Eligible,151.0,Puget Sound Energy Inc,7,1,0
Kitsap,Silverdale,2020,Tesla,Model Y,BEV,Eligible,291.0,Puget Sound Energy Inc,5,1,0
Snohomish,Edmonds,2023,Bmw,330E,PHEV,Not Eligible,20.0,Puget Sound Energy Inc,2,1,0
Walla Walla,College Place,2022,Ford,Escape,PHEV,Eligible,38.0,Pacificorp,3,1,0
Island,Freeland,2025,Mazda,Cx-90,PHEV,Not Eligible,26.0,Puget Sound Energy Inc,0,1,0
Skagit,Mount Vernon,2017,Tesla,Model S,BEV,Eligible,210.0,Puget Sound Energy Inc,8,1,0
Snohomish,Bothell,2022,Kia,Ev6,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
Snohomish,Snohomish,2019,Tesla,Model X,BEV,Eligible,289.0,Puget Sound Energy Inc,6,1,0
Yakima,Yakima,2019,Tesla,Model 3,BEV,Eligible,220.0,Pacificorp,6,1,0
King,Seattle,2018,Tesla,Model 3,BEV,Eligible,215.0,City Of Seattle - (Wa),7,1,0
Snohomish,Bothell,2026,Tesla,Model Y,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
Thurston,Yelm,2022,Chevrolet,Bolt Ev,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
Thurston,Lacey,2022,Kia,Niro,PHEV,Not Eligible,26.0,Puget Sound Energy Inc,3,1,0
Kitsap,Kingston,2023,Jeep,Grand Cherokee,PHEV,Not Eligible,25.0,Puget Sound Energy Inc,2,1,0
Kitsap,Port Orchard,2019,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,6,1,0
Snohomish,Marysville,2020,Tesla,Model S,BEV,Eligible,330.0,Puget Sound Energy Inc,5,1,0
Thurston,Olympia,2025,Kia,Sorento,PHEV,Eligible,30.0,Puget Sound Energy Inc,0,1,0
Kitsap,Bainbridge Island,2019,Tesla,Model X,BEV,Eligible,289.0,Puget Sound Energy Inc,6,1,0
Kitsap,Silverdale,2017,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,8,1,0
Thurston,Olympia,2020,Tesla,Model Y,BEV,Eligible,291.0,Puget Sound Energy Inc,5,1,0
Yakima,Yakima,2024,Kia,Niro,PHEV,Eligible,33.0,Pacificorp,1,1,0
Snohomish,Edmonds,2025,Nissan,Ariya,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
Thurston,Olympia,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Thurston,Olympia,2022,Bmw,X5,PHEV,Eligible,30.0,Puget Sound Energy Inc,3,1,0
Yakima,Toppenish,2018,Toyota,Prius Prime (Phev),PHEV,Not Eligible,25.0,Pacificorp,7,1,0
Whitman,Colton,2024,Ford,F-150,BEV,Unknown,,Avista Corp,1,0,0
Skagit,Bow,2020,Tesla,Model 3,BEV,Eligible,266.0,Puget Sound Energy Inc,5,1,0
Snohomish,Snohomish,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
Walla Walla,Walla Walla,2024,Kia,Ev6,BEV,Unknown,,Pacificorp,1,0,0
Snohomish,Bothell,2017,Ford,C-Max,PHEV,Not Eligible,20.0,Puget Sound Energy Inc,8,1,0
Snohomish,Bothell,2018,Tesla,Model S,BEV,Eligible,249.0,Puget Sound Energy Inc,7,1,0
King,Seattle,2025,Bmw,X5,PHEV,Eligible,40.0,City Of Seattle - (Wa),0,1,0
Whitman,Pullman,2019,Tesla,Model 3,BEV,Eligible,220.0,Avista Corp,6,1,0
Skagit,La Conner,2023,Audi,Q5 E,PHEV,Not Eligible,23.0,Puget Sound Energy Inc,2,1,0
Kitsap,Bremerton,2022,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
Skagit,Anacortes,2025,Rivian,R1S,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
Snohomish,Lake Stevens,2018,Tesla,Model S,BEV,Eligible,249.0,Puget Sound Energy Inc,7,1,0
Whitman,Pullman,2018,Tesla,Model 3,BEV,Eligible,215.0,Avista Corp,7,1,0
Snohomish,Lynnwood,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
Thurston,Olympia,2021,Jeep,Wrangler,PHEV,Not Eligible,25.0,Puget Sound Energy Inc,4,1,0
Kitsap,Seabeck,2023,Toyota,Rav4 Prime (Phev),PHEV,Eligible,42.0,Puget Sound Energy Inc,2,1,0
Chelan,Chelan,2019,Nissan,Leaf,BEV,Eligible,150.0,Pud No 1 Of Chelan County,6,1,0
Snohomish,Bothell,2019,Tesla,Model X,BEV,Eligible,289.0,Puget Sound Energy Inc,6,1,0
Snohomish,Edmonds,2024,Audi,Q5 E,PHEV,Not Eligible,23.0,Puget Sound Energy Inc,1,1,0
Yakima,Moxee,2023,Tesla,Model Y,BEV,Unknown,,Pacificorp,2,0,0
Walla Walla,Walla Walla,2018,Tesla,Model X,BEV,Eligible,238.0,Pacificorp,7,1,0
Thurston,Olympia,2020,Tesla,Model 3,BEV,Eligible,266.0,Puget Sound Energy Inc,5,1,0
Whitman,Pullman,2023,Toyota,Rav4 Prime (Phev),PHEV,Eligible,42.0,Avista Corp,2,1,0
King,Renton,2026,Bmw,M5,PHEV,Not Eligible,25.0,Puget Sound Energy Inc,0,1,0
Walla Walla,Walla Walla,2020,Chevrolet,Bolt Ev,BEV,Eligible,259.0,Pacificorp,5,1,0
Ferry,Inchelium,2016,Tesla,Model X,BEV,Eligible,200.0,Avista Corp,9,1,0
King,Seattle,2020,Tesla,Model Y,BEV,Eligible,291.0,City Of Seattle - (Wa),5,1,0
Thurston,Tumwater,2018,Tesla,Model S,BEV,Eligible,249.0,Puget Sound Energy Inc,7,1,0
Snohomish,Edmonds,2020,Tesla,Model 3,BEV,Eligible,322.0,Puget Sound Energy Inc,5,1,0
Snohomish,Snohomish,2020,Tesla,Model S,BEV,Eligible,337.0,Puget Sound Energy Inc,5,1,0
Snohomish,Edmonds,2019,Tesla,Model X,BEV,Eligible,289.0,Puget Sound Energy Inc,6,1,0
Thurston,Olympia,2017,Tesla,Model S,BEV,Eligible,210.0,Puget Sound Energy Inc,8,1,0
Snohomish,Edmonds,2024,Audi,Q5 E,PHEV,Not Eligible,23.0,Puget Sound Energy Inc,1,1,0
Chelan,Wenatchee,2020,Nissan,Leaf,BEV,Eligible,149.0,Pud No 1 Of Chelan County,5,1,0
Snohomish,Bothell,2019,Chevrolet,Bolt Ev,BEV,Eligible,238.0,Puget Sound Energy Inc,6,1,0
Walla Walla,Walla Walla,2024,Hyundai,Tucson,PHEV,Eligible,33.0,Pacificorp,1,1,0
Snohomish,Stanwood,2018,Nissan,Leaf,BEV,Eligible,151.0,Puget Sound Energy Inc,7,1,0
Thurston,Yelm,2025,Kia,Niro,PHEV,Eligible,33.0,Puget Sound Energy Inc,0,1,0
Skagit,Bellingham,2020,Nissan,Leaf,BEV,Eligible,215.0,Puget Sound Energy Inc,5,1,0
King,Redmond,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
Snohomish,Marysville,2020,Tesla,Model 3,BEV,Eligible,266.0,Puget Sound Energy Inc,5,1,0
Chelan,Chelan,2023,Tesla,Model Y,BEV,Unknown,,Pud No 1 Of Chelan County,2,0,0
Whitman,Pullman,2022,Chrysler,Pacifica,PHEV,Eligible,32.0,Avista Corp,3,1,0
Snohomish,Edmonds,2019,Nissan,Leaf,BEV,Eligible,150.0,Puget Sound Energy Inc,6,1,0
Snohomish,Brier,2024,Kia,Sorento,PHEV,Eligible,32.0,Puget Sound Energy Inc,1,1,0
Thurston,Lacey,2022,Porsche,Taycan,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
King,Bothell,2018,Tesla,Model S,BEV,Eligible,249.0,Puget Sound Energy Inc,7,1,0
Snohomish,Snohomish,2022,Volvo,Xc40,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
Yakima,Union Gap,2019,Tesla,Model 3,BEV,Eligible,220.0,Pacificorp,6,1,0
Snohomish,Bothell,2025,Bmw,X5,PHEV,Eligible,40.0,Puget Sound Energy Inc,0,1,0
Kittitas,Ellensburg,2025,Rivian,R1S,BEV,Unknown,,Puget Sound Energy Inc,0,0,0
Snohomish,Everett,2020,Kia,Niro,BEV,Eligible,239.0,Puget Sound Energy Inc,5,1,0
Snohomish,Bothell,2020,Tesla,Model 3,BEV,Eligible,266.0,Puget Sound Energy Inc,5,1,0
Thurston,Lacey,2024,Jeep,Wrangler,PHEV,Not Eligible,21.0,Puget Sound Energy Inc,1,1,0
Whitman,Pullman,2017,Nissan,Leaf,BEV,Eligible,107.0,Avista Corp,8,1,0
Stevens,Addy,2015,Tesla,Model S,BEV,Eligible,208.0,Avista Corp,10,1,0
Yakima,Selah,2015,Tesla,Model S,BEV,Eligible,208.0,Pacificorp,10,1,0
Thurston,Olympia,2020,Kia,Niro,BEV,Eligible,239.0,Puget Sound Energy Inc,5,1,0
Yakima,Yakima,2018,Tesla,Model 3,BEV,Eligible,215.0,Pacificorp,7,1,0
Snohomish,Edmonds,2018,Ford,Fusion,PHEV,Not Eligible,21.0,Puget Sound Energy Inc,7,1,0
Island,Clinton,2017,Nissan,Leaf,BEV,Eligible,107.0,Puget Sound Energy Inc,8,1,0
Thurston,Lacey,2017,Tesla,Model S,BEV,Eligible,210.0,Puget Sound Energy Inc,8,1,0
Snohomish,Lake Stevens,2016,Tesla,Model S,BEV,Eligible,210.0,Puget Sound Energy Inc,9,1,0
Thurston,Tumwater,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Whitman,Tekoa,2017,Ford,Fusion,PHEV,Not Eligible,21.0,Avista Corp,8,1,0
Snohomish,Granite Falls,2019,Tesla,Model 3,BEV,Eligible,220.0,Puget Sound Energy Inc,6,1,0
Snohomish,Sultan,2022,Tesla,Model 3,BEV,Unknown,,Puget Sound Energy Inc,3,0,0
Thurston,Olympia,2020,Tesla,Model 3,BEV,Eligible,308.0,Puget Sound Energy Inc,5,1,0
Spokane,Spokane,2022,Jeep,Wrangler,PHEV,Not Eligible,21.0,Modern Electric Water Company,3,1,0
Thurston,Tumwater,2024,Hyundai,Tucson,PHEV,Eligible,33.0,Puget Sound Energy Inc,1,1,0
Chelan,Leavenworth,2023,Kia,Niro,BEV,Unknown,,Pud No 1 Of Chelan County,2,0,0
Snohomish,Mukilteo,2019,Tesla,Model X,BEV,Eligible,289.0,Puget Sound Energy Inc,6,1,0
Snohomish,Snohomish,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
King,Seattle,2018,Tesla,Model 3,BEV,Eligible,215.0,Puget Sound Energy Inc,7,1,0
Snohomish,Bothell,2019,Tesla,Model S,BEV,Eligible,270.0,Puget Sound Energy Inc,6,1,0
